date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:35:04	5970/5970	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261d462bf-1752%22	https://www.roboticssummit.com/wp-content/plugins/tiny-carousel-horizontal-slider/inc/jquery.tinycarousel.js	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/plugins/tiny-carousel-horizontal-slider/inc/jquery.tinycarousel.js	(from https://www.roboticssummit.com/)
00:35:05	94024/94024	---MCZ	200	added ('OK')	application/json	date:Thu,%2028%20Apr%202022%2004:35:04%20GMT	https://www.roboticssummit.com/wp-json/wp/v2/pages/2775	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-json/wp/v2/pages/2775.json	(from https://www.roboticssummit.com/)
00:35:05	185877/185877	---MCZ	200	added ('OK')	application/json	date:Thu,%2028%20Apr%202022%2004:35:05%20GMT	https://www.roboticssummit.com/wp-json/	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-json/index.html	(from https://www.roboticssummit.com/)
00:35:05	846/846	---MCZ	200	added ('OK')	text/xml	date:Thu,%2028%20Apr%202022%2004:35:05%20GMT	https://www.roboticssummit.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/xmlrpc0db0.php	(from https://www.roboticssummit.com/)
00:35:06	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2261a53437-415%22	https://www.roboticssummit.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-includes/wlwmanifest.xml	(from https://www.roboticssummit.com/)
00:35:06	2743/2743	---MCZ	200	added ('OK')	application/json	date:Thu,%2028%20Apr%202022%2004:35:05%20GMT	https://www.roboticssummit.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.roboticssummit.com%2F	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-json/oembed/1.0/embed9840.json	(from https://www.roboticssummit.com/)
00:35:07	2869/2869	---MCZ	200	added ('OK')	text/xml	date:Thu,%2028%20Apr%202022%2004:35:06%20GMT	https://www.roboticssummit.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.roboticssummit.com%2F&format=xml	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-json/oembed/1.0/embedbe86	(from https://www.roboticssummit.com/)
00:35:07	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2028%20Apr%202022%2004:35:06%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/boston_expo/www.googletagmanager.com/gtm.205445.delayed	(from https://www.roboticssummit.com/)
00:35:07	7770/7770	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2013%20Apr%202022%2023:25:22%20GMT	https://snap.licdn.com/li.lms-analytics/insight.min.js	C:/My%20Web%20Sites/boston_expo/snap.licdn.com/li.lms-analytics/insight.min.js	(from https://www.roboticssummit.com/)
00:35:07	934/934	---M--	200	added ('OK')	image/png	etag:%2261a53439-3a6%22	https://www.roboticssummit.com/wp-content/uploads/2018/01/cropped-cropped-robotics-summit-fvcn-32x32.png	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2018/01/cropped-cropped-robotics-summit-fvcn-32x32.png	(from https://www.roboticssummit.com/)
00:35:08	4548/4548	---M--	200	added ('OK')	image/png	etag:%2261a53439-1324%22	https://www.roboticssummit.com/wp-content/uploads/2018/01/cropped-cropped-robotics-summit-fvcn-192x192.png	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2018/01/cropped-cropped-robotics-summit-fvcn-192x192.png	(from https://www.roboticssummit.com/)
00:35:08	4171/4171	---M--	200	added ('OK')	image/png	etag:%2261a53439-11b3%22	https://www.roboticssummit.com/wp-content/uploads/2018/01/cropped-cropped-robotics-summit-fvcn-180x180.png	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2018/01/cropped-cropped-robotics-summit-fvcn-180x180.png	(from https://www.roboticssummit.com/)
00:35:08	12298/12298	---M--	200	added ('OK')	image/png	etag:%2261a53438-8090%22	https://www.roboticssummit.com/wp-content/uploads/2021/10/RoboticsSummitExpo_logo_COLOR.png	C:/My%20Web%20Sites/boston_expo/www.roboticssummit.com/wp-content/uploads/2021/10/RoboticsSummitExpo_logo_COLOR.png	(from https://www.roboticssummit.com/)
